mode: set
t1/hashaddress.go:11.44,11.63 1 1
t1/onelinkedlist.go:89.2,89.15 1 1
t1/onelinkedlist.go:89.15,89.25 1 1
t1/onelinkedlist.go:90.2,92.41 3 1
t1/onelinkedlist.go:92.41,94.3 1 1
t1/onelinkedlist.go:95.2,95.17 1 1
t1/onelinkedlist.go:95.17,95.27 1 1
t1/onelinkedlist.go:96.2,99.23 4 1
t1/onelinkedlist.go:99.23,101.3 1 0
t1/onelinkedlist.go:104.42,105.22 1 1
t1/onelinkedlist.go:105.22,105.32 1 1
t1/onelinkedlist.go:106.2,106.27 1 1
t1/onelinkedlist.go:106.27,109.3 2 1
t1/onelinkedlist.go:110.2,112.38 3 1
t1/onelinkedlist.go:112.38,115.3 2 1
t1/onelinkedlist.go:116.2,116.17 1 1
t1/onelinkedlist.go:116.17,116.27 1 1
t1/onelinkedlist.go:117.2,118.23 2 1
t1/onelinkedlist.go:118.23,120.3 1 1
t1/onelinkedlist.go:123.47,124.22 1 1
t1/onelinkedlist.go:124.22,124.35 1 1
t1/onelinkedlist.go:125.2,127.38 3 1
t1/onelinkedlist.go:127.38,130.3 2 1
t1/onelinkedlist.go:131.2,131.17 1 1
t1/onelinkedlist.go:131.17,131.30 1 1
t1/onelinkedlist.go:132.2,132.12 1 1
t1/onelinkedlist.go:135.50,136.22 1 1
t1/onelinkedlist.go:136.22,139.3 2 1
t1/onelinkedlist.go:140.2,140.16 1 1
t1/onelinkedlist.go:140.16,143.3 2 1
t1/onelinkedlist.go:144.2,144.16 1 1
t1/onelinkedlist.go:144.16,147.3 2 1
t1/onelinkedlist.go:148.2,150.41 3 1
t1/onelinkedlist.go:150.41,152.3 1 1
t1/onelinkedlist.go:153.2,153.58 1 1
t1/onelinkedlist.go:153.58,156.3 2 1
t1/onelinkedlist.go:157.2,158.23 2 1
t1/onelinkedlist.go:161.49,162.48 1 1
t1/onelinkedlist.go:162.48,165.3 2 1
t1/onelinkedlist.go:166.2,166.15 1 1
t1/onelinkedlist.go:166.15,169.3 2 0
t1/onelinkedlist.go:170.2,172.39 3 1
t1/onelinkedlist.go:172.39,174.3 1 1
t1/onelinkedlist.go:175.2,175.38 1 1
t1/onelinkedlist.go:175.38,178.3 2 1
t1/onelinkedlist.go:179.2,179.28 1 1
t1/onelinkedlist.go:179.28,182.3 2 1
t1/onelinkedlist.go:183.2,185.23 3 1
t1/onelinkedlist.go:185.23,187.3 1 0
t1/onelinkedlist.go:190.37,190.57 1 1
t1/onelinkedlist.go:191.37,191.57 1 1
t1/queue.go:9.55,11.2 1 1
t1/queue.go:13.36,14.22 1 1
t1/queue.go:14.22,16.3 1 1
t1/queue.go:18.2,20.22 2 1
t1/queue.go:20.22,22.3 1 1
t1/queue.go:25.46,27.22 2 1
t1/queue.go:27.22,31.3 3 1
t1/queue.go:32.2,33.18 2 1
t1/queue.go:36.33,38.18 2 1
t1/queue.go:38.18,41.3 2 1
t1/queue.go:42.2,42.15 1 1
t1/queue.go:45.36,45.56 1 1
t1/queue.go:46.36,46.56 1 1
t1/stack.go:8.52,10.2 1 1
t1/stack.go:12.31,13.21 1 1
t1/stack.go:13.21,15.3 1 1
t1/stack.go:16.2,16.26 1 1
t1/stack.go:19.33,21.18 2 1
t1/stack.go:21.18,24.3 2 1
t1/stack.go:25.2,25.15 1 1
t1/stack.go:28.43,30.21 2 1
t1/stack.go:30.21,33.3 2 1
t1/stack.go:34.2,35.17 2 1
t1/stack.go:38.35,38.54 1 1
t1/structures.go:9.36,11.2 1 1
t1/structures.go:13.36,13.56 1 0
t1/structures.go:14.36,14.56 1 0
t1/structures.go:15.36,15.56 1 0
t1/twolinkedlist.go:9.53,11.2 1 1
t1/twolinkedlist.go:13.44,15.22 2 1
t1/twolinkedlist.go:15.22,19.3 3 1
t1/twolinkedlist.go:20.2,22.18 3 1
t1/twolinkedlist.go:25.34,26.22 1 1
t1/twolinkedlist.go:26.22,26.32 1 1
t1/twolinkedlist.go:27.2,28.22 2 1
t1/twolinkedlist.go:28.22,30.3 1 1
t1/twolinkedlist.go:30.8,32.3 1 1
t1/twolinkedlist.go:35.33,36.22 1 1
t1/twolinkedlist.go:36.22,36.32 1 1
t1/twolinkedlist.go:37.2,37.28 1 1
t1/twolinkedlist.go:37.28,40.3 2 1
t1/twolinkedlist.go:41.2,42.22 2 1
t1/twolinkedlist.go:45.35,46.22 1 1
t1/twolinkedlist.go:46.22,46.32 1 1
t1/twolinkedlist.go:47.2,48.18 2 1
t1/twolinkedlist.go:48.18,51.3 2 1
t1/twolinkedlist.go:52.2,52.15 1 1
t1/twolinkedlist.go:55.45,57.22 2 1
t1/twolinkedlist.go:57.22,61.3 3 1
t1/twolinkedlist.go:62.2,64.18 3 1
t1/twolinkedlist.go:67.62,68.35 1 1
t1/twolinkedlist.go:68.35,68.45 1 0
t1/twolinkedlist.go:69.2,71.39 3 1
t1/twolinkedlist.go:71.39,73.3 1 1
t1/twolinkedlist.go:74.2,74.17 1 1
t1/twolinkedlist.go:74.17,74.27 1 0
t1/twolinkedlist.go:75.2,78.22 4 1
t1/twolinkedlist.go:78.22,80.3 1 0
t1/twolinkedlist.go:81.2,82.23 2 1
t1/twolinkedlist.go:82.23,84.3 1 1
t1/twolinkedlist.go:87.63,88.16 1 1
t1/twolinkedlist.go:88.16,91.3 2 1
t1/twolinkedlist.go:92.2,92.35 1 1
t1/twolinkedlist.go:92.35,92.45 1 0
t1/twolinkedlist.go:93.2,95.39 3 1
t1/twolinkedlist.go:95.39,97.3 1 1
t1/twolinkedlist.go:98.2,98.17 1 1
t1/twolinkedlist.go:98.17,98.27 1 0
t1/twolinkedlist.go:99.2,103.18 5 1
t1/twolinkedlist.go:106.42,107.22 1 1
t1/twolinkedlist.go:107.22,107.32 1 1
t1/twolinkedlist.go:108.2,108.27 1 1
t1/twolinkedlist.go:108.27,111.3 2 1
t1/twolinkedlist.go:112.2,113.38 2 1
t1/twolinkedlist.go:113.38,115.3 1 1
t1/twolinkedlist.go:116.2,116.17 1 1
t1/twolinkedlist.go:116.17,116.27 1 0
t1/twolinkedlist.go:117.2,118.23 2 1
t1/twolinkedlist.go:118.23,120.3 1 1
t1/twolinkedlist.go:120.8,122.3 1 1
t1/twolinkedlist.go:125.47,126.22 1 1
t1/twolinkedlist.go:126.22,126.35 1 0
t1/twolinkedlist.go:127.2,129.38 3 1
t1/twolinkedlist.go:129.38,132.3 2 1
t1/twolinkedlist.go:133.2,133.17 1 1
t1/twolinkedlist.go:133.17,133.30 1 1
t1/twolinkedlist.go:134.2,134.12 1 1
t1/twolinkedlist.go:137.50,138.22 1 1
t1/twolinkedlist.go:138.22,141.3 2 1
t1/twolinkedlist.go:142.2,142.16 1 1
t1/twolinkedlist.go:142.16,145.3 2 1
t1/twolinkedlist.go:146.2,146.16 1 1
t1/twolinkedlist.go:146.16,149.3 2 1
t1/twolinkedlist.go:150.2,152.39 3 1
t1/twolinkedlist.go:152.39,154.3 1 1
t1/twolinkedlist.go:155.2,155.37 1 1
t1/twolinkedlist.go:155.37,158.3 2 0
t1/twolinkedlist.go:159.2,161.22 3 1
t1/twolinkedlist.go:161.22,163.3 1 1
t1/twolinkedlist.go:163.8,165.3 1 0
t1/twolinkedlist.go:168.49,169.48 1 1
t1/twolinkedlist.go:169.48,172.3 2 1
t1/twolinkedlist.go:173.2,173.15 1 1
t1/twolinkedlist.go:173.15,176.3 2 1
t1/twolinkedlist.go:177.2,179.39 3 1
t1/twolinkedlist.go:179.39,181.3 1 0
t1/twolinkedlist.go:182.2,182.37 1 1
t1/twolinkedlist.go:182.37,185.3 2 0
t1/twolinkedlist.go:186.2,188.22 3 1
t1/twolinkedlist.go:188.22,190.3 1 1
t1/twolinkedlist.go:190.8,192.3 1 1
t1/twolinkedlist.go:195.37,195.57 1 1
t1/twolinkedlist.go:196.37,196.57 1 1
